site_nm,site_no,do_low,do_high,wt_low,wt_high,ph_low,ph_high,sc_low,sc_high
"ANVIL LAKE, DEEP HOLE, NEAR EAGLE RIVER, WI","455638089034501",0,20,0,30,6,10,25,50
"LAKE BEULAH AT DEEP HOLE NEAR EAST TROY, WI","424840088241600",0,20,0,30,6,10,400,700
"LAKE BEULAH STATION 2 NEAR EAST TROY, WI","424929088231300",0,20,0,30,6,10,400,700
"BIG CEDAR LAKE, NORTH SITE, NEAR WEST BEND, WI","432409088151600",0,20,0,30,6,10,500,900
"BIG CEDAR LAKE, SOUTH SITE, NEAR WEST BEND, WI","432224088154900",0,20,0,30,6,10,400,700
"DELAVAN LAKE AT CENTER NEAR DELAVAN LAKE, WI","423556088365001",0,20,0,30,6,10,400,1400
"DELAVAN LAKE, AT NORTH END, NEAR LAKE LAWN, WI","423659088354401",0,20,0,30,6,10,400,1000
"DELAVAN LAKE, AT SW END, NEAR DELAVAN LAKE, WI","423526088380101",0,20,0,30,6,10,400,1000
"GENEVA LAKE AT WEST END NEAR WILLIAMS BAY, WI","423329088323300",0,20,0,30,6,10,400,1000
"GREEN LAKE AT DEEP HOLE NEAR GREEN LAKE, WI","434756089020500",0,20,0,30,6,10,450,600
"GREEN LAKE AT EAST END NEAR GREEN LAKE, WI","434928088570000",0,20,0,30,6,10,450,600
"OCONOMOWOC LAKE NO. 1 (CENTER) AT OCONOMOWOC, WI","430551088273500",0,20,0,30,6,10,200,800
"OCONOMOWOC LAKE NO. 2 (OFF HEWITT POINT) AT OCONOMOWOC, WI","430609088262200",0,20,0,30,6,10,500,800
"OKAUCHEE LAKE AT OKAUCHEE, WI","430723088252100",0,20,0,30,6,10,500,650
"POWERS LAKE AT POWERS LAKE, WI","423246088175800",0,20,0,30,6,10,450,600
"WIND LAKE AT WIND LAKE, WI","424915088083900",0,20,0,30,6,10,600,1400
