site_name,site_no,ghtable,stagehydrograph,qwtable,depthprofiles,qwtimeseries
"ANVIL LAKE NEAR EAGLE RIVER, WI",05390500,TRUE,TRUE,FALSE,FALSE,FALSE
"LAKE BEULAH AT DEEP HOLE NEAR EAST TROY, WI",424840088241600,FALSE,FALSE,TRUE,TRUE,TRUE
"LAKE BEULAH STATION 2 NEAR EAST TROY, WI",424929088231300,FALSE,FALSE,TRUE,TRUE,TRUE
"LAKE BEULAH INLET NEAR EAST TROY, WI",05544099,FALSE,FALSE,TRUE,FALSE,FALSE
"BIG CEDAR LAKE, NORTH SITE, NEAR WEST BEND, WI",432409088151600,FALSE,FALSE,TRUE,TRUE,TRUE
"BIG CEDAR LAKE, SOUTH SITE, NEAR WEST BEND, WI",432224088154900,FALSE,FALSE,TRUE,TRUE,TRUE
"BOOT LAKE AT CAMP ROAD LANDING NEAR TOWNSEND, WI",451559088383901,TRUE,TRUE,FALSE,FALSE,FALSE
"DELAVAN LAKE AT CENTER NEAR DELAVAN LAKE, WI",423556088365001,FALSE,FALSE,TRUE,TRUE,TRUE
"DELAVAN LAKE, AT NORTH END, NEAR LAKE LAWN, WI",423659088354401,FALSE,FALSE,TRUE,TRUE,FALSE
"DELAVAN LAKE, AT SW END, NEAR DELAVAN LAKE, WI",423526088380101,FALSE,FALSE,TRUE,TRUE,FALSE
"DEVILS LAKE NEAR BARABOO, WI",05404500,TRUE,TRUE,FALSE,FALSE,FALSE
"GENEVA LAKE AT LAKE GENEVA, WI",423525088260400,TRUE,TRUE,FALSE,FALSE,FALSE
"GENEVA LAKE AT WEST END NEAR WILLIAMS BAY, WI",423329088323300,FALSE,FALSE,TRUE,TRUE,TRUE
"GREEN LAKE AT GREEN LAKE, WI",434840089000001,TRUE,TRUE,FALSE,FALSE,FALSE
"GREEN LAKE AT DEEP HOLE NEAR GREEN LAKE, WI",434756089020500,FALSE,FALSE,TRUE,TRUE,TRUE
"GREEN LAKE AT EAST END NEAR GREEN LAKE, WI",434928088570000,FALSE,FALSE,TRUE,TRUE,TRUE
"LAKE HURON NEAR PLAINFIELD, WI",05401063,TRUE,TRUE,FALSE,FALSE,FALSE
"LAKE KEGONSA AT BARBER DRIVE NEAR STOUGHTON, WI",425715089164700,TRUE,TRUE,FALSE,FALSE,FALSE
"LAKE KOSHKONONG NEAR NEWVILLE, WI",05427235,TRUE,TRUE,FALSE,FALSE,FALSE
"LONG LAKE NEAR SATRUEEVILLE, WI",441257089071500,TRUE,TRUE,FALSE,FALSE,FALSE
"LAKE MENDOTA AT MADISON, WI",05428000,TRUE,TRUE,FALSE,FALSE,FALSE
"MIDDLE GENESEE LAKE, AT GENESEE LAKE ROAD, NEAR OCONOMOWOC, WI",430251088284700,TRUE,TRUE,FALSE,FALSE,FALSE
"LAKE MONONA AT MADISON, WI",05429000,TRUE,TRUE,FALSE,FALSE,FALSE
"NORTH LAKE NEAR ELKHORN, WI",05545000,TRUE,TRUE,FALSE,FALSE,FALSE
"OCONOMOWOC LAKE NO. 1 (CENTER) AT OCONOMOWOC, WI",430551088273500,FALSE,FALSE,TRUE,TRUE,TRUE
"OCONOMOWOC LAKE NO. 2 (OFF HEWITT POINT) AT OCONOMOWOC, WI",430609088262200,FALSE,FALSE,TRUE,TRUE,TRUE
"OKAUCHEE LAKE AT OKAUCHEE, WI",430723088252100,FALSE,FALSE,TRUE,TRUE,TRUE
"OKAUCHEE LAKE, NO. 1, NEAR OKAUCHEE, WI",430759088244200,FALSE,FALSE,TRUE,FALSE,TRUE
"OKAUCHEE LAKE, NO. 2, AT OKAUCHEE, WI",430645088264500,FALSE,FALSE,TRUE,FALSE,TRUE
"OKAUCHEE LAKE, NO. 3, AT OKAUCHEE, WI",430642088252400,FALSE,FALSE,TRUE,FALSE,TRUE
"OKAUCHEE LAKE, NO. 4, AT OKAUCHEE, WI",430757088261700,FALSE,FALSE,TRUE,FALSE,TRUE
"POTTER LAKE NEAR MUKWONAGO, WI",424905088204000,FALSE,FALSE,TRUE,TRUE,TRUE
"POWERS LAKE AT POWERS LAKE, WI",423246088175800,FALSE,FALSE,TRUE,TRUE,TRUE
"SILVER LAKE NEAR CUMBERLAND, WI",453420091551600,TRUE,TRUE,FALSE,FALSE,FALSE
"SILVER LAKE AT PORTAGE, WI",04072500,TRUE,TRUE,FALSE,FALSE,FALSE
"LAKE WAUBESA AT MCFARLAND, WI",05429485,TRUE,TRUE,FALSE,FALSE,FALSE
"WHITEFISH (BARDON) LAKE NEAR GORDON, WI",461231091524900,TRUE,TRUE,FALSE,FALSE,FALSE
"WIND LAKE, HEADWATER, AT OUTLET AT WIND LAKE, WI",424848088083100,TRUE,TRUE,FALSE,FALSE,FALSE
"WIND LAKE AT WIND LAKE, WI",424915088083900,FALSE,FALSE,TRUE,TRUE,TRUE
"LAKE WINNEBAGO AT OSHKOSH, WI",04082500,TRUE,TRUE,FALSE,FALSE,FALSE
"LAKE WINNEBAGO NEAR STOCKBRIDGE, WI",04084255,TRUE,FALSE,FALSE,FALSE,FALSE
