"agency_cd","site_no","station_nm","site_tp_cd","lat_va","long_va","dec_lat_va","dec_long_va","coord_meth_cd","coord_acy_cd","coord_datum_cd","dec_coord_datum_cd","district_cd","state_cd","county_cd","country_cd","land_net_ds","map_nm","map_scale_fc","alt_va","alt_meth_cd","alt_acy_va","alt_datum_cd","huc_cd","basin_cd","topo_cd","instruments_cd","construction_dt","inventory_dt","drain_area_va","contrib_drain_area_va","tz_cd","local_time_fg","reliability_cd","gw_file_cd","nat_aqfr_cd","aqfr_cd","aqfr_type_cd","well_depth_va","hole_depth_va","depth_src_cd","project_no","type","offsetLat","offsetLon","offsetLineLat","offsetLineLon"
"USGS","05544099","LAKE BEULAH INLET NEAR EAST TROY, WI","ST",424839,882456,42.81084714,-88.415652,"M","S","NAD27","NAD83","55","55","127","US","SENENWS18 T4N   R18E  4","EAST TROY","  24000",808,"M",5,"NGVD29","07120006","","C","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",NA,NA,"CST","Y","","","","","",NA,NA,"","24919KB25","Lake water-quality and stage station",0,0,0,0
"USGS","423246088175800","POWERS LAKE AT POWERS LAKE, WI","LK",423246,881758,42.5461291,-88.2995367,"M","S","NAD27","NAD83","55","55","059","US","NW SE S13 T1N   R18E","GENOA CITY","  24000",832,"M",5,"NGVD29","07120006","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",3.42,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445513300","Lake water-quality and stage station",0,0,0,0
"USGS","423329088323300","GENEVA LAKE AT WEST END NEAR WILLIAMS BAY, WI","LK",423329,883233,42.5580723,-88.5426,"M","S","NAD27","NAD83","55","55","127","US","NE SE S12 T1N   R16E  4","WALWORTH","  24000",864,"M",5,"NGVD29","07120006","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",28.7,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445517314","Lake water-quality and stage station",0,0,0,0
"USGS","423526088380101","DELAVAN LAKE AT SW END NEAR DELAVAN LAKE, WI","LK",423526,883801,42.59057109,-88.6337134,"M","S","NAD27","NAD83","55","55","127","US","  SENWS32 T2N   R16E  4","SHARON","  24000",NA,"",NA,"","07090001","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",41.4,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445518101","Lake water-quality and stage station",0,0,0,0
"USGS","423556088365001","DELAVAN LAKE AT CENTER NEAR DELAVAN LAKE, WI","LK",423556,883650,42.5989044,-88.6139907,"M","S","NAD27","NAD83","55","55","127","US","  SESWS28 T2N   R16E  4","WALWORTH","  24000",NA,"",NA,"","07090001","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",41.4,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445518101","Lake water-quality and stage station",0,0,0,0
"USGS","423659088354401","DELAVAN LAKE AT NORTH END NEAR LAKE LAWN, WI","LK",423659,883544,42.61640427,-88.595657,"M","S","NAD27","NAD83","55","55","127","US","  NWSWS22 T2N   R16E  4","WALWORTH","  24000",NA,"",NA,"","07090001","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",41.4,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445518101","Lake water-quality and stage station",0,0,0,0
"USGS","424207088072400","EAGLE LAKE AT DEEP HOLE NEAR KANSASVILLE, WI","LK",424207,880724,42.7019623,-88.1234199,"M","S","NAD27","NAD83","55","55","101","US","SE SW S22 T3N   R20E","UNION GROVE","  24000",796,"M",5,"NGVD29","07120006","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",6.99,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445513300","Lake water-quality and stage station",0,0,0,0
"USGS","424840088241600","LAKE BEULAH AT DEEP HOLE NEAR EAST TROY, WI","LK",424840,882416,42.811125,-88.4045405,"M","S","NAD27","NAD83","55","55","127","US","SWNWNWS17 T4N   R18E  4","EAST TROY","  24000",808,"M",2,"NGVD29","07120006","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",10.8,NA,"CST","Y","","","","","",NA,NA,"","24919KB25","Lake water-quality and stage station",0,0,0,0
"USGS","424915088083900","WIND LAKE AT WIND LAKE, WI","LK",424915,880839,42.82084949,-88.1442549,"M","S","NAD27","NAD83","55","55","101","US","NW SW S9  T4N   R20E","","",NA,"",NA,"","07120006","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",40.2,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445513300","Lake water-quality and stage station",0,0,0,0
"USGS","424929088231300","LAKE BEULAH STATION 2 NEAR EAST TROY, WI","LK",424929,882313,42.82473605,-88.38704,"M","S","NAD27","NAD83","55","55","127","US","SENENES8  T4N   R18E  4","EAST TROY","  24000",808,"M",2,"NGVD29","07120006","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",10.8,NA,"CST","Y","","","","","",NA,NA,"","24919KB25","Lake water-quality and stage station",0,0,0,0
"USGS","430551088273500","OCONOMOWOC LAKE NO. 1 (CENTER) AT OCONOMOWOC, WI","LK",430551,882735,43.09750715,-88.4598204,"M","S","NAD27","NAD83","55","55","133","US","  NWNES2  T7N   R17E  4","OCONOMOWOC EAST","  24000",854.08,"L",0.01,"NGVD29","07090001","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",NA,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445513300","Lake water-quality and stage station",0,0,0,0
"USGS","430609088262200","OCONOMOWOC LAKE ","",NA,NA,NA,NA,"","","","","","","","","","","",NA,"",NA,"","","","","","","",NA,NA,"","","","","","","",NA,NA,"","","Lake water-quality and stage station",0,0,0,0
"USGS","432224088154900","BIG CEDAR LAKE-SOUTH SITE-NEAR WEST BEND, WI","LK",432224,881549,43.3733342,-88.2637064,"M","S","NAD27","NAD83","55","55","131","US","NE SE S31 T11N  R19E  4","HARTFORD EAST","  24000",1031,"M",5,"NGVD29","04040003","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",NA,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445513300","Lake water-quality and stage station",0,0,0,0
"USGS","432409088151600","BIG CEDAR LAKE-NORTH SITE-NEAR WEST BEND, WI","LK",432409,881516,43.4025001,-88.25453979,"M","S","NAD27","NAD83","55","55","131","US","NE SW S20 T11N  R19E  4","ALLENTON","  24000",1031,"M",5,"NGVD29","04040003","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",NA,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","445513300","Lake water-quality and stage station",0,0,0,0
"USGS","434756089020500","GREEN LAKE AT DEEP HOLE NEAR GREEN LAKE, WI","LK",434756,890205,43.79888889,-89.0347222,"G","S","NAD83","NAD83","55","55","047","US","NW SE S2  T15N  R12E  4","PRINCETON EAST","  24000",796,"M",2,"NGVD29","04030201","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",103,NA,"CST","Y","","","","","",NA,NA,"","24919KB25","Lake water-quality and stage station",0,0,0,0
"USGS","434928088570000","GREEN LAKE AT EAST END NEAR GREEN LAKE, WI","LK",434928,885700,43.82444444,-88.95,"G","S","NAD83","NAD83","55","55","047","US","SE SE S28 T16N  R13E  4","GREEN LAKE","  24000",796,"M",2,"NGVD29","04030201","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",103,NA,"CST","Y","","","","","",NA,NA,"","24919KB25","Lake water-quality and stage station",0,0,0,0
"USGS","455638089034501","ANVIL LAKE - DEEP HOLE - NEAR EAGLE RIVER, WI","LK",455638,890345,45.94388889,-89.0625,"G","S","NAD83","NAD83","55","55","125","US","  CTSWS13 T40N  R11E  4","ANVIL LAKE","  24000",1693,"N",4,"NAVD88","07070001","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",NA,NA,"CST","Y","C","","","","",NA,NA,"","24919KB45","Lake water-quality and stage station",0,0,0,0
"USGS","04072500","SILVER LAKE AT PORTAGE, WI","LK",433310,892822.9,43.55277778,-89.4730278,"M","S","NAD83","NAD83","55","55","021","US","","","",NA,"",NA,"","04030201","","","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",1,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","","Lake-stage station",0,0,0,0
"USGS","04082500","LAKE WINNEBAGO AT OSHKOSH, WI","LK",440035,883138,44.00970626,-88.5273365,"M","S","NAD27","NAD83","55","55","139","US","  NENES25 T18N  R16E","OSHKOSH","  24000",743.91,"L",0.01,"NAVD88","04030203","","","NNYNYNNNNNYYNNNNNNNNNNNNNNNNNN","","",5880,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
"USGS","04084255","LAKE WINNEBAGO NEAR STOCKBRIDGE, WI","LK",440414,881944,44.07055556,-88.32888889,"M","S","NAD83","NAD83","55","55","015","US","      S   T18N  R18E  4","STOCKBRIDGE","  24000",745.05,"L",0.01,"NGVD29","04030203","","","NNYNYNNNNNNYNNNNNNNNNNNNNNNNNN","","",5880,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
"USGS","05390500","ANVIL LAKE NEAR EAGLE RIVER, WI","LK",455700.5,890315.3,45.95013889,-89.05425,"N","5","NAD83","NAD83","55","55","125","US","  NWNES13 T40N  R11E  4","ANVIL LAKE","  24000",1695,"M",5,"NAVD88","07070001","","L","NNNNYNNNNNNNNYNNYNNNNNNNNNNNNN","","",4.11,NA,"CST","Y","C","NNNNNNNN","","","",NA,NA,"","24919KB45","Lake-stage station",0,0,0,0
"USGS","05401063","LAKE HURON NEAR PLAINFIELD, WI","LK",441144.3,892502.9,44.19563889,-89.4174722,"D","1","NAD83","NAD83","55","55","137","US","NWSENWS22 T20N  R9E   4","PLAINFIELD","  24000",997.2,"L",0.1,"NAVD88","07070003","","L","NNNNNNNNNNNNNNNNNNNNNNNNNNNNNN","","",8.34,NA,"CST","Y","","NYNNNNNN","","","",NA,NA,"","24919KB55","Lake-stage station",0,0,0,0
"USGS","05404500","DEVILS LAKE NEAR BARABOO, WI","LK",432535,894340,43.42638889,-89.7277778,"M","S","NAD83","NAD83","55","55","111","US","  SWSES13 T11N  R6E   4","BARABOO","  24000",954.88,"L",0.01,"NAVD88","07070004","","","NNYNNNYNNNNYNYNNYNNNNNNNNNNNNN","","",4.79,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
"USGS","05427235","LAKE KOSHKONONG NEAR NEWVILLE, WI","LK",425127,885627,42.85750645,-88.9409429,"M","S","NAD27","NAD83","55","55","055","US","  NWNES34 T5N   R13E  4","MILTON","  24000",769.77,"L",0.01,"NAVD88","07090001","","","NNYNNNNNNNNYNYNNYNNNNNNNNNNNNN","","",2560,NA,"CST","Y","","NNNNNNNN","","","",NA,NA,"","249100100","Lake-stage station",0,0,0,0
